Dep_Code,Arr_Code,Dep_Date,Arr_Date,airline,baggage,flightstops,totaltime,Scrap_Date,triptype,price
DEL,DXB,8/20/2025 11:40,8/20/2025 0:00,AI,With Baggage,2,905,8/5/2025,oneway,180.18
DEL,DXB,8/20/2025 10:55,8/20/2025 0:00,AI,With Baggage,2,940,8/5/2025,oneway,180.18
DEL,XNB,8/20/2025 15:55,8/20/2025 0:00,EY,Without Baggage,1,490,8/5/2025,oneway,180.65
DEL,DXB,8/20/2025 7:20,8/20/2025 0:00,AI,With Baggage,0,220,8/5/2025,oneway,181.38
DEL,DXB,8/20/2025 20:30,8/20/2025 0:00,AI,With Baggage,0,225,8/5/2025,oneway,181.38
DEL,DXB,8/20/2025 4:55,8/20/2025 0:00,GF,With Baggage,1,385,8/5/2025,oneway,181.39
DEL,DXB,8/20/2025 4:55,8/20/2025 0:00,GF,With Baggage,1,520,8/5/2025,oneway,181.39
DEL,DXB,8/20/2025 18:40,8/20/2025 0:00,6E,With Baggage,0,235,8/5/2025,oneway,182.29
DEL,DXB,8/20/2025 14:55,8/20/2025 0:00,AI,With Baggage,2,700,8/5/2025,oneway,182.94
DEL,DXB,8/20/2025 14:20,8/20/2025 0:00,AI,With Baggage,2,740,8/5/2025,oneway,182.94
DEL,DXB,8/20/2025 13:15,8/20/2025 0:00,AI,With Baggage,2,810,8/5/2025,oneway,182.94
DEL,DXB,8/20/2025 20:30,8/20/2025 0:00,AI,With Baggage,0,225,8/5/2025,oneway,185.34
DEL,DXB,8/20/2025 7:20,8/20/2025 0:00,AI,With Baggage,0,220,8/5/2025,oneway,185.34
DEL,DXB,8/20/2025 7:45,8/20/2025 0:00,J9,With Baggage,1,585,8/5/2025,oneway,187.62
DEL,DXB,8/20/2025 7:45,8/20/2025 0:00,J9,With Baggage,1,750,8/5/2025,oneway,187.62
DEL,DXB,8/20/2025 7:00,8/20/2025 0:00,KU,With Baggage,1,745,8/5/2025,oneway,188.85
DEL,DXB,8/20/2025 21:25,8/20/2025 0:00,AI,With Baggage,1,1360,8/5/2025,oneway,189.16
DEL,DXB,8/20/2025 5:10,8/20/2025 0:00,AI,With Baggage,1,1310,8/5/2025,oneway,190.31
DEL,DXB,8/20/2025 5:45,8/20/2025 0:00,AI,With Baggage,1,1275,8/5/2025,oneway,190.31
DEL,XNB,8/20/2025 15:55,8/20/2025 0:00,EY,Without Baggage,1,510,8/5/2025,oneway,190.99
DEL,XNB,8/20/2025 15:55,8/20/2025 0:00,EY,Without Baggage,1,550,8/5/2025,oneway,190.99
DEL,XNB,8/20/2025 15:55,8/20/2025 0:00,EY,Without Baggage,1,715,8/5/2025,oneway,190.99
DEL,DXB,8/20/2025 4:55,8/20/2025 0:00,GF,With Baggage,1,385,8/5/2025,oneway,192.18
DEL,DXB,8/20/2025 11:40,8/20/2025 0:00,AI,With Baggage,1,930,8/5/2025,oneway,193.8
DEL,DXB,8/20/2025 2:15,8/20/2025 0:00,AI,With Baggage,1,1485,8/5/2025,oneway,193.8
DEL,DXB,8/20/2025 10:55,8/20/2025 0:00,AI,With Baggage,1,965,8/5/2025,oneway,193.8
DEL,DXB,8/20/2025 14:30,8/20/2025 0:00,AI,With Baggage,2,670,8/5/2025,oneway,195.91
DEL,DXB,8/20/2025 20:10,8/20/2025 0:00,6E,With Baggage,1,485,8/5/2025,oneway,196.55
DEL,DXB,8/20/2025 21:30,8/20/2025 0:00,AI,With Baggage,1,330,8/5/2025,oneway,196.57
DEL,DXB,8/20/2025 21:00,8/20/2025 0:00,AI,With Baggage,1,365,8/5/2025,oneway,196.57
DEL,DXB,8/20/2025 20:30,8/20/2025 0:00,AI,With Baggage,1,380,8/5/2025,oneway,196.57
DEL,DXB,8/20/2025 14:55,8/20/2025 0:00,AI,With Baggage,1,725,8/5/2025,oneway,196.57
DEL,DXB,8/20/2025 14:20,8/20/2025 0:00,AI,With Baggage,1,765,8/5/2025,oneway,196.57
DEL,DXB,8/20/2025 13:15,8/20/2025 0:00,AI,With Baggage,1,835,8/5/2025,oneway,196.57
DEL,DXB,8/20/2025 8:30,8/20/2025 0:00,AI,With Baggage,1,1115,8/5/2025,oneway,196.57
DEL,DXB,8/20/2025 10:15,8/20/2025 0:00,AI,With Baggage,1,1010,8/5/2025,oneway,196.57
DEL,DXB,8/20/2025 9:00,8/20/2025 0:00,AI,With Baggage,1,1080,8/5/2025,oneway,196.57
